arch;seed;val_score;test_score
const,max,relu,2,64,generalized_linear,sum,leaky_relu,8;123.0;0.758;0.7979999999999999
const,max,relu,2,8,const,sum,linear,1;10.0;0.72;0.747
const,max,relu,2,8,cos,sum,leaky_relu,8;123.0;0.65;0.648
const,max,relu,2,8,gcn,sum,elu,2;10.0;0.78;0.8079999999999999
const,max,relu,4,128,cos,max,elu,6;79.0;0.722;0.706
const,max,relu,4,128,gat_sym,mean,tanh,16;42.0;0.222;0.336
const,max,relu,4,128,linear,sum,sigmoid,16;123.0;0.77;0.7879999999999999
const,max,relu,4,16,cos,sum,sigmoid,16;79.0;0.77;0.8029999999999999
const,max,relu,4,256,generalized_linear,mlp,softplus,2;19.0;0.6920000000000001;0.684
const,max,relu,4,4,cos,max,softplus,8;19.0;0.316;0.319
const,max,relu,4,4,cos,mean,tanh,2;79.0;0.312;0.407
const,max,relu,4,4,gat,sum,linear,8;123.0;0.7659999999999999;0.775
const,max,relu,4,4,gat,sum,relu,1;19.0;0.662;0.679
const,max,relu,4,64,cos,mean,leaky_relu,8;42.0;0.156;0.14400000000000002
const,max,relu,4,64,cos,mlp,linear,6;123.0;0.746;0.755
const,max,relu,4,64,gat,mean,elu,8;19.0;0.524;0.517
const,max,relu,4,64,linear,sum,sigmoid,16;123.0;0.784;0.789
const,max,relu,6,16,const,mlp,relu,8;42.0;0.618;0.657
const,max,relu,6,256,cos,sum,tanh,1;79.0;0.782;0.8109999999999999
const,max,relu,6,256,gat_sym,sum,softplus,4;19.0;0.78;0.792
const,max,relu,6,256,generalized_linear,max,leaky_relu,2;10.0;0.7120000000000001;0.737
const,max,relu,6,32,gat_sym,sum,relu,6;79.0;0.7759999999999999;0.7879999999999999
const,max,relu,6,32,generalized_linear,max,tanh,4;19.0;0.542;0.58
const,max,relu,6,4,gat,sum,softplus,16;42.0;0.738;0.7715000000000001
const,max,relu,6,4,generalized_linear,mlp,elu,16;10.0;0.63;0.654
const,max,relu,8,128,gat,sum,softplus,8;123.0;0.772;0.785
const,max,relu,8,16,gat_sym,sum,softplus,6;79.0;0.784;0.802
const,max,relu,8,16,generalized_linear,max,softplus,1;123.0;0.6920000000000001;0.736
const,max,relu,8,256,cos,sum,leaky_relu,4;42.0;0.778;0.795
const,max,relu,8,32,gat,sum,relu,4;79.0;0.7849999999999999;0.783
const,max,relu,8,64,gat,mlp,softplus,4;79.0;0.722;0.735
const,max,relu,8,64,linear,max,relu6,6;19.0;0.51;0.534
const,max,relu,8,64,linear,sum,sigmoid,4;79.0;0.79;0.8083333333333332
const,max,relu,8,8,linear,sum,sigmoid,4;79.0;0.79;0.82
