arch;seed;val_score;test_score
const,max,relu,16,4,gcn,max,tanh,8;123.0;0.416;0.407
const,max,relu,16,4,gcn,sum,tanh,16;79.0;0.802;0.784
const,max,relu,16,8,cos,sum,leaky_relu,8;123.0;0.77;0.7709999999999999
const,max,relu,2,128,cos,max,leaky_relu,6;79.0;0.866;0.8640000000000001
const,max,relu,2,128,linear,mean,sigmoid,1;123.0;0.416;0.414
const,max,relu,2,32,gat,mean,elu,16;10.0;0.388;0.413
const,max,relu,2,32,gcn,mlp,sigmoid,2;123.0;0.6759999999999999;0.685
const,max,relu,2,32,gcn,sum,leaky_relu,1;123.0;0.765;0.7435
const,max,relu,2,32,gcn,sum,sigmoid,1;123.0;0.794;0.7809999999999999
const,max,relu,2,32,gcn,sum,sigmoid,2;123.0;0.8;0.768
const,max,relu,2,4,cos,sum,leaky_relu,8;123.0;0.7659999999999999;0.769
const,max,relu,2,4,gat_sym,mean,relu6,2;42.0;0.388;0.413
const,max,relu,2,4,gcn,max,linear,6;79.0;0.452;0.478
const,max,relu,2,4,gcn,mean,tanh,1;79.0;0.402;0.412
const,max,relu,2,4,generalized_linear,sum,relu6,16;123.0;0.586;0.618
const,max,relu,2,64,const,sum,leaky_relu,8;123.0;0.77;0.746
const,max,relu,2,64,generalized_linear,sum,leaky_relu,8;123.0;0.778;0.758
const,max,relu,2,8,const,sum,elu,4;10.0;0.792;0.773
const,max,relu,2,8,const,sum,leaky_relu,8;123.0;0.732;0.743
const,max,relu,2,8,const,sum,tanh,4;10.0;0.794;0.763
const,max,relu,2,8,cos,mean,leaky_relu,8;123.0;0.416;0.407
const,max,relu,2,8,cos,sum,leaky_relu,1;123.0;0.784;0.773
const,max,relu,2,8,cos,sum,leaky_relu,8;123.0;0.761;0.7365
const,max,relu,2,8,gat,sum,leaky_relu,1;123.0;0.762;0.747
const,max,relu,2,8,gcn,sum,leaky_relu,1;123.0;0.78;0.7509999999999999
const,max,relu,2,8,gcn,sum,relu6,1;123.0;0.777;0.7629999999999999
const,max,relu,2,8,gcn,sum,sigmoid,1;123.0;0.8079999999999999;0.777
const,max,relu,4,128,cos,mlp,leaky_relu,2;19.0;0.774;0.757
const,max,relu,4,128,gat,mean,relu,8;19.0;0.196;0.407
const,max,relu,4,256,generalized_linear,mlp,softplus,2;19.0;0.788;0.787
const,max,relu,4,32,const,sum,tanh,16;19.0;0.8;0.7785
const,max,relu,4,4,const,sum,tanh,4;10.0;0.79;0.767
const,max,relu,4,4,cos,max,softplus,8;19.0;0.402;0.426
const,max,relu,4,4,cos,mean,tanh,2;79.0;0.406;0.448
const,max,relu,4,4,gat,sum,relu,1;19.0;0.85;0.85
const,max,relu,4,64,cos,mlp,linear,6;123.0;0.624;0.632
const,max,relu,4,64,gat_sym,sum,linear,4;42.0;0.7859999999999999;0.759
const,max,relu,4,64,generalized_linear,max,relu,16;42.0;0.636;0.639
const,max,relu,4,64,linear,sum,tanh,4;79.0;0.7979999999999999;0.779
const,max,relu,4,8,cos,max,leaky_relu,8;123.0;0.416;0.407
const,max,relu,4,8,cos,sum,leaky_relu,8;123.0;0.7879999999999999;0.772
const,max,relu,4,8,gat,sum,tanh,8;19.0;0.7986363636363635;0.7749999999999999
const,max,relu,6,128,gat,max,softplus,1;79.0;0.75;0.7509999999999999
const,max,relu,6,16,cos,sum,tanh,16;79.0;0.8009999999999999;0.781
const,max,relu,6,16,linear,mean,sigmoid,1;123.0;0.388;0.413
const,max,relu,6,16,linear,sum,relu,16;79.0;0.7859999999999999;0.7559999999999999
const,max,relu,6,256,generalized_linear,mlp,elu,1;10.0;0.7440000000000001;0.746
const,max,relu,6,32,gat,max,relu6,2;19.0;0.774;0.754
const,max,relu,6,4,const,sum,relu,2;79.0;0.7959999999999999;0.765
const,max,relu,6,8,linear,sum,relu6,8;79.0;0.762;0.758
const,max,relu,8,128,linear,sum,sigmoid,4;79.0;0.802;0.778
const,max,relu,8,16,generalized_linear,max,softplus,1;123.0;0.388;0.413
const,max,relu,8,16,generalized_linear,sum,leaky_relu,6;79.0;0.768;0.74
const,max,relu,8,256,gat,mean,relu,2;79.0;0.348;0.413
const,max,relu,8,32,gat,sum,relu,4;79.0;0.82;0.821
const,max,relu,8,64,const,mean,leaky_relu,1;42.0;0.416;0.407
const,max,relu,8,64,gat,mlp,softplus,4;79.0;0.882;0.882
const,max,relu,8,64,linear,sum,sigmoid,4;79.0;0.804;0.784
const,max,relu,8,64,linear,sum,tanh,4;79.0;0.8046666666666665;0.7773333333333333
const,max,relu,8,8,linear,sum,tanh,4;79.0;0.7979999999999999;0.7759999999999999
const,max,relu6,1,16,generalized_linear,mlp,sigmoid,4;10.0;0.612;0.623
const,max,relu6,1,256,gat_sym,max,elu,1;123.0;0.752;0.741
const,max,relu6,1,256,generalized_linear,sum,elu,1;123.0;0.7659999999999999;0.737
const,max,relu6,1,32,cos,sum,tanh,2;123.0;0.7859999999999999;0.768
const,max,relu6,1,64,cos,mlp,tanh,2;10.0;0.6459999999999999;0.619
const,max,relu6,1,64,linear,max,tanh,4;10.0;0.522;0.561
const,max,relu6,1,8,const,mean,relu6,16;10.0;0.196;0.18
const,max,relu6,16,128,gcn,mean,tanh,16;10.0;0.7959999999999999;0.764
const,max,relu6,16,256,const,mean,linear,4;79.0;0.0;0.0
const,max,relu6,16,256,const,sum,tanh,16;10.0;0.0;0.0
const,max,relu6,16,4,gat_sym,mlp,tanh,16;10.0;0.774;0.76
const,max,relu6,16,64,linear,sum,softplus,2;79.0;0.768;0.7390000000000001
